GDP,NX,Time
"243,164","10,875",1947Q1
"245,968","11,294",1947Q2
"249,585","11,770",1947Q3
"259,745","9,289",1947Q4
"265,742","7,293",1948Q1
"272,567","5,205",1948Q2
"279,196","4,949",1948Q3
"280,366","4,501",1948Q4
"275,034","6,478",1949Q1
"271,351","6,283",1949Q2
"272,889","5,179",1949Q3
"270,627","2,999",1949Q4
"280,828","2,203",1950Q1
"290,383","1,643",1950Q2
"308,153",-740,1950Q3
"319,945",-154,1950Q4
"336,000",177,1951Q1
"344,090","1,943",1951Q2
"351,385","3,742",1951Q3
"356,178","4,190",1951Q4
"359,820","3,721",1952Q1
"361,030","1,951",1952Q2
"367,701",-4,1952Q3
"380,812","-1,013",1952Q4
"387,980",-667,1953Q1
"391,749","-1,251",1953Q2
"391,171",-552,1953Q3
"385,970",-335,1953Q4
"385,345",-356,1954Q1
"386,121",254,1954Q2
"390,996",574,1954Q3
"399,734","1,145",1954Q4
"413,073","1,104",1955Q1
"421,532",-155,1955Q2
"430,221",724,1955Q3
"437,092",240,1955Q4
"439,746",440,1956Q1
"446,010","1,909",1956Q2
"451,191","2,569",1956Q3
"460,463","4,527",1956Q4
"469,779","4,819",1957Q1
"472,025","4,099",1957Q2
"479,490","3,997",1957Q3
"474,864","3,388",1957Q4
"467,540","1,079",1958Q1
"471,978",471,1958Q2
"485,841",856,1958Q3
"499,555",-260,1958Q4
"510,330",519,1959Q1
"522,653",-768,1959Q2
"525,034","1,211",1959Q3
"528,600",627,1959Q4
"542,648","2,858",1960Q1
"541,080","3,395",1960Q2
"545,604","4,682",1960Q3
"540,197","5,880",1960Q4
"545,018","5,902",1961Q1
"555,545","4,727",1961Q2
"567,664","4,453",1961Q3
"580,612","4,572",1961Q4
"594,013","4,010",1962Q1
"600,366","4,777",1962Q2
"609,027","4,482",1962Q3
"612,280","3,133",1962Q4
"621,672","3,976",1963Q1
"629,752","5,558",1963Q2
"644,444","4,511",1963Q3
"653,938","5,711",1963Q4
"669,822","7,213",1964Q1
"678,674","6,305",1964Q2
"692,031","6,946",1964Q3
"697,319","7,195",1964Q4
"717,790","4,512",1965Q1
"730,191","6,688",1965Q2
"749,323","5,521",1965Q3
"771,857","5,750",1965Q4
"795,734","4,367",1966Q1
"804,981","4,632",1966Q2
"819,638","2,687",1966Q3
"833,302","3,765",1966Q4
"844,170","4,453",1967Q1
"848,983","4,219",1967Q2
"865,233","3,302",1967Q3
"881,439","2,244",1967Q4
"909,387","1,054",1968Q1
"934,344","1,749",1968Q2
"950,825","1,650",1968Q3
"968,030",945,1968Q4
"993,337",239,1969Q1
"1,009,020","1,104",1969Q2
"1,029,956","1,231",1969Q3
"1,038,147","3,149",1969Q4
"1,051,200","3,514",1970Q1
"1,067,375","5,207",1970Q2
"1,086,059","4,088",1970Q3
"1,088,608","2,985",1970Q4
"1,135,156","4,570",1971Q1
"1,156,271",-401,1971Q2
"1,177,675",236,1971Q3
"1,190,297","-1,920",1971Q4
"1,230,609","-3,534",1972Q1
"1,266,369","-4,258",1972Q2
"1,290,566","-2,638",1972Q3
"1,328,904","-3,061",1972Q4
"1,377,490","-1,400",1973Q1
"1,413,887","2,454",1973Q2
"1,433,838","6,437",1973Q3
"1,476,289","8,952",1973Q4
"1,491,209","6,394",1974Q1
